"Date","Price","Open","High","Low","Change %"
"Apr 22, 2011","141.680","141.390","142.130","140.910","-0.14"
"Apr 25, 2011","141.795","141.260","142.075","140.520","0.08"
"Apr 26, 2011","141.995","141.250","142.155","140.430","0.14"
"Apr 27, 2011","142.570","141.490","142.750","140.930","0.40"
"Apr 28, 2011","142.460","141.980","143.690","141.150","-0.08"
"Apr 29, 2011","142.395","141.890","142.955","141.440","-0.05"
"May 02, 2011","142.440","142.270","143.240","141.600","0.03"
"May 03, 2011","142.295","141.790","142.715","141.340","-0.10"
"May 04, 2011","142.455","141.800","143.015","141.530","0.11"
"May 05, 2011","142.545","141.810","143.165","141.570","0.06"
"May 06, 2011","142.320","141.810","143.130","141.360","-0.16"
"May 09, 2011","142.340","141.600","142.840","141.290","0.01"
"May 10, 2011","142.100","141.520","142.720","141.330","-0.17"
"May 11, 2011","142.050","141.440","142.900","141.240","-0.04"
"May 12, 2011","141.540","141.540","142.540","140.650","-0.36"
"May 13, 2011","141.245","140.900","142.225","140.150","-0.21"
"May 16, 2011","141.210","140.290","141.680","139.970","-0.02"
"May 17, 2011","141.235","140.600","141.625","140.560","0.02"
"May 18, 2011","141.420","140.860","141.920","140.550","0.13"
"May 19, 2011","141.490","140.910","142.010","140.630","0.05"
"May 20, 2011","140.845","140.840","141.905","140.110","-0.46"
"May 23, 2011","140.780","140.100","141.480","139.000","-0.05"
"May 24, 2011","141.160","140.380","141.850","140.140","0.27"
"May 25, 2011","141.365","140.530","141.995","140.460","0.15"
"May 26, 2011","141.575","140.740","142.145","140.630","0.15"
"May 27, 2011","141.915","140.930","142.215","140.820","0.24"
"May 30, 2011","142.015","141.160","142.325","141.100","0.07"
"May 31, 2011","142.065","141.430","142.555","141.320","0.04"
"Jun 01, 2011","142.280","141.560","142.690","141.470","0.15"
"Jun 02, 2011","142.485","141.750","142.865","141.610","0.14"
"Jun 03, 2011","142.715","141.950","143.035","141.610","0.16"
"Jun 06, 2011","142.705","142.250","143.185","141.740","-0.01"
"Jun 07, 2011","142.760","142.140","143.160","141.640","0.04"
"Jun 08, 2011","142.820","142.260","143.180","141.940","0.04"
"Jun 09, 2011","142.885","142.370","143.475","141.750","0.05"
"Jun 10, 2011","142.970","142.360","143.170","141.940","0.06"
"Jun 13, 2011","142.605","142.560","143.125","141.930","-0.26"
"Jun 14, 2011","142.310","142.080","143.150","141.670","-0.21"
"Jun 15, 2011","142.215","141.950","142.735","141.560","-0.07"
"Jun 16, 2011","142.710","141.660","142.830","140.900","0.35"
"Jun 17, 2011","141.420","142.180","142.980","140.460","-0.90"
"Jun 20, 2011","140.980","141.020","141.680","140.080","-0.31"
"Jun 21, 2011","141.480","140.410","141.650","139.880","0.35"
"Jun 22, 2011","141.170","140.790","141.870","140.270","-0.22"
"Jun 23, 2011","141.560","140.540","141.750","140.280","0.28"
"Jun 24, 2011","141.400","141.060","141.840","140.690","-0.11"
"Jun 27, 2011","141.205","140.810","141.835","140.560","-0.14"
"Jun 28, 2011","141.190","140.700","141.580","140.390","-0.01"
"Jun 29, 2011","141.330","140.800","142.190","140.330","0.10"
"Jun 30, 2011","141.505","140.770","141.715","140.550","0.12"
"Jul 01, 2011","141.440","141.130","141.850","140.440","-0.05"
"Jul 04, 2011","141.440","141.110","141.830","140.390","0.00"
